Slade Cross,39, Bachelors,(881) 752-1962, Never-married, Adm-clerical, White, Male,MK05444224124333242,Norway
Alma Mcdaniel,32, HS-grad,(170) 967-6386, Married-civ-spouse, Craft-repair, White, Male,NL25JKEL4121214512,France
Linus Carr,17, 10th,1-226-101-8871, Never-married, ?, White, Female,MC9864121871323727821530783,Peru
Erich Bush,30, 11th,1-163-828-7752, Never-married, Handlers-cleaners, White, Male,AZ77785532303775295626504221,Turkey
Thaddeus Sparks,31, HS-grad,1-636-266-3081, Never-married, Adm-clerical, White, Female,TN2468682858138851423812,Germany
Fatima Meyer,42, HS-grad,1-421-646-6816, Married-civ-spouse, Handlers-cleaners, White, Male,LI5428154458776367937,China
Dorothy Solomon,24, Bachelors,1-612-849-3416, Never-married, Sales, White, Male,AZ13251622433177466445949785,Philippines
Tasha Marks,38, Prof-school,1-541-567-5609, Married-civ-spouse, Prof-specialty, White, Male,BG97ZRKO92160625788166,Poland
Maxwell Stokes,56, HS-grad,1-645-672-1683, Married-civ-spouse, Other-service, White, Male,CH7860395123462304876,Spain
Dalton Blackburn,28, Some-college,(773) 737-5303, Married-civ-spouse, Sales, White, Female,TN5721069626281352211551,Turkey
Ashely Baxter,36, HS-grad,(386) 862-3156, Never-married, Machine-op-inspct, White, Female,BG65BOJY56835797291915,Vietnam
Bo Reese,53, 9th,(581) 965-4792, Married-civ-spouse, Handlers-cleaners, White, Male,ES4688978591462556870564,Belgium
Harlan Kennedy,56, Some-college,(628) 774-4735, Married-civ-spouse, Sales, White, Male,MC8524582469668825178593615,Australia
Pandora Duran,49, Assoc-voc,(299) 260-0367, Married-civ-spouse, Craft-repair, Black, Male,RO64JGVL5645267306314231,Australia
Graham Porter,55, Some-college,1-846-514-5434, Married-civ-spouse, Sales, White, Male,PT86763241455387373812612,Nigeria
Zachery Sweeney,22, HS-grad,(453) 211-7567, Never-married, Craft-repair, White, Male,MT75DJFI31876583921143885356468,Germany
Sage Hamilton,21, Some-college,(646) 445-2294, Never-married, Other-service, White, Female,MC8511772181744787975057051,Belgium
Katelyn Wiggins,40, Bachelors,1-994-535-4224, Married-civ-spouse, Exec-managerial, White, Male,GT30151462175466958851452350,Sweden
Rogan Sullivan,30, Bachelors,(862) 591-8852, Never-married, Exec-managerial, Black, Male,IT651YVWSI66318562758267006,Turkey
Hanna Peterson,29, Bachelors,1-762-294-2168, Married-civ-spouse, Prof-specialty, White, Male,LT821285986849276203,China
Kenyon Rosario,19, Some-college,1-922-386-7362, Never-married, Other-service, Black, Male,PK0930217891513617675372,Germany
Craig Hubbard,47, Bachelors,1-533-534-3631, Married-civ-spouse, Exec-managerial, White, Female,HR0333665341880210455,New Zealand
Hamish Klein,20, Some-college,(435) 639-6894, Never-married, Adm-clerical, White, Female,MT40WFRF68754478723323263796495,Poland
Jackson Wilder,31, Assoc-acdm,1-945-528-1316, Married-civ-spouse, Adm-clerical, White, Male,HR4542550713278096333,Poland
Maxwell Garner,35, HS-grad,(655) 814-1287, Married-civ-spouse, ?, White, Male,EE375656470886627912,Russian Federation
Ronan Wagner,39, Some-college,(511) 311-9151, Divorced, Craft-repair, White, Male,MU7718513358955566207582209325,Philippines
Kaitlin Frost,28, Assoc-acdm,(647) 584-4436, Never-married, Sales, White, Female,CH4150737561881564842,Australia
Leilani Ball,24, HS-grad,(672) 888-7687, Never-married, Other-service, White, Female,AL86159614888768142121751516,France
Christian Brock,38, HS-grad,(561) 603-7865, Married-civ-spouse, Craft-repair, White, Male,PL88466673769632276601188893,Peru
Lynn Roberson,37, Bachelors,(384) 818-0321, Married-civ-spouse, Sales, White, Male,LB34250026341778877172364999,Costa Rica
Lois Sandoval,46, Assoc-acdm,(905) 551-2062, Divorced, Tech-support, Black, Female,IL656332792965186433646,New Zealand
Avram Spears,38, Masters,1-206-241-6033, Married-civ-spouse, Prof-specialty, White, Male,MR2881784725776668466623234,Poland
Guinevere Dejesus,43, HS-grad,1-508-276-7260, Married-civ-spouse, Craft-repair, White, Male,EE185326555317285232,Vietnam
Herrod Mccall,27, Assoc-voc,1-741-932-8182, Married-civ-spouse, Adm-clerical, White, Female,GE11341915387815538280,Vietnam
Farrah Fox,20, Some-college,(859) 762-5827, Never-married, Sales, White, Male,LI0887958049734224162,Philippines
Lillith Roach,49, Some-college,1-758-142-4877, Married-civ-spouse, Craft-repair, Asian-Pac-Islander, Male,ME91424728781678091891,Netherlands
Dominic Dotson,61, HS-grad,1-894-429-4615, Married-civ-spouse, Craft-repair, White, Male,NO1555629118851,Indonesia
Kennedy Meyer,27, Some-college,1-402-233-1653, Never-married, Sales, White, Female,SI27014378262231127,Canada
Noel Sweeney,19, Some-college,(388) 201-8577, Never-married, Other-service, White, Male,LT192335162343074358,Italy
Logan Irwin,45, Assoc-voc,(107) 116-0424, Never-married, Prof-specialty, White, Female,PK2192784567738159209818,Pakistan
Hashim Wyatt,70, Some-college,1-484-898-7865, Never-married, Tech-support, White, Male,IT844NWDAI75778751834689811,Nigeria
Gavin Norman,31, HS-grad,(461) 355-8749, Never-married, Transport-moving, Black, Female,BE11642441915408,Mexico
Hu Duran,22, Some-college,1-346-355-0864, Married-civ-spouse, Other-service, White, Male,GB70PKLW87373086942525,South Africa
Hayes Fischer,36, HS-grad,(461) 745-5607, Widowed, Other-service, White, Female,GE86609258837262847381,Russian Federation
Plato Whitley,64, 11th,(163) 616-1913, Married-civ-spouse, Craft-repair, White, Male,SA5952111256328029857742,Norway
Angela Benjamin,43, Some-college,1-726-281-0806, Divorced, ?, White, Female,LV19MKHC1487552743023,Poland
Helen Hurley,47, Some-college,1-641-871-5142, Divorced, Adm-clerical, White, Female,CY20321114641520044746382049,Germany
Alyssa Harmon,34, HS-grad,(993) 316-0672, Never-married, Adm-clerical, White, Female,MU6178089230243256311838473683,China
Yael Ruiz,33, Bachelors,(382) 721-5583, Never-married, Exec-managerial, Asian-Pac-Islander, Female,SI41162850566414753,Vietnam
Kennan Vance,21, HS-grad,1-602-775-1370, Never-married, Craft-repair, White, Male,BG19VGMG86747739484777,Turkey
Dawn Sharp,52, HS-grad,(321) 953-1258, Divorced, ?, White, Male,LI3989033601196387063,Australia
Karly Crosby,48, HS-grad,(912) 323-4522, Married-civ-spouse, Craft-repair, White, Male,GE62851864356713136068,France
Isaac Chase,23, Bachelors,1-141-341-8425, Never-married, Handlers-cleaners, White, Male,GR1258424767338012134746524,Russian Federation
Ronan Cox,71, Some-college,(618) 642-7852, Separated, Sales, Black, Male,SA6208339345844679605869,Australia
Summer Cross,29, HS-grad,(535) 892-8654, Divorced, Craft-repair, White, Male,GI40HJJW081476616817361,Indonesia
Jillian Mccarty,42, Bachelors,1-107-735-8655, Separated, Other-service, Black, Male,SA7482670013431824978626,Russian Federation
Eleanor Schneider,68, 1st-4th,1-885-870-1458, Divorced, ?, White, Female,SE9393036830736736469544,Indonesia
Maile Hanson,25, HS-grad,1-756-421-3570, Never-married, Other-service, White, Female,BH77595473654662230153,France
Brianna Howard,44, Masters,(342) 324-4395, Divorced, Exec-managerial, Asian-Pac-Islander, Female,KW9487523753243562071231147127,Belgium
Nelle Nash,28, HS-grad,1-330-513-8779, Never-married, Exec-managerial, Asian-Pac-Islander, Female,CR4714481938451851140,Belgium
Stephen Lott,45, Masters,1-436-304-6213, Married-civ-spouse, Sales, White, Male,CY48963328773384941511441488,Brazil
Ezekiel Vega,36, Some-college,1-228-538-5331, Divorced, Other-service, White, Female,AT328132737531052333,Vietnam
Melvin Oliver,39, Assoc-acdm,(128) 746-0933, Never-married, Exec-managerial, White, Male,DE58048674723557835729,Brazil
Aimee Byrd,46, Masters,1-397-242-7242, Widowed, Protective-serv, White, Male,ES5270639558323289914381,Sweden
Uta Clemons,18, 11th,(757) 417-8349, Never-married, Handlers-cleaners, White, Male,LT223154745376542067,Colombia
Troy Hart,66, Assoc-voc,1-374-453-4667, Widowed, Prof-specialty, White, Female,PK5626466120053851601454,New Zealand
Whilemina Hickman,27, HS-grad,1-541-633-2293, Never-married, Other-service, White, Male,LI4503583274303717553,Canada
Hedda Robinson,28, HS-grad,(904) 535-5709, Married-civ-spouse, Protective-serv, White, Male,MU4115522824020711368854643262,United States
Roary Price,51, Some-college,(634) 945-3738, Married-civ-spouse, Sales, White, Male,BA714467273625131225,Belgium
Kyra Brewer,27, Bachelors,1-725-245-0671, Never-married, Craft-repair, White, Male,NL89LQTD5141799127,South Korea
Jerome Washington,28, Bachelors,1-962-249-4885, Married-civ-spouse, Prof-specialty, White, Male,KZ807548146985768665,Costa Rica
Demetrius Ballard,27, HS-grad,1-388-772-7509, Married-spouse-absent, Sales, White, Female,EE531081454373862136,Nigeria
Dylan Howell,21, HS-grad,(229) 661-5266, Never-married, Craft-repair, Black, Male,MR9388523281487325374467405,Australia
Adara Spencer,34, HS-grad,(325) 897-6815, Never-married, Handlers-cleaners, Black, Male,LU828711603370362357,Russian Federation
Breanna Campbell,18, HS-grad,1-143-183-0127, Never-married, Other-service, White, Male,NL59YRYN2464153226,Turkey
Camden Mccarthy,33, Bachelors,1-865-417-7477, Married-civ-spouse, Prof-specialty, White, Male,AE412851568914270131255,Singapore
Jamal Chavez,44, Some-college,1-875-770-2154, Married-civ-spouse, Exec-managerial, Black, Male,PS757571418814888954794376458,Chile
Arthur Mack,43, Some-college,1-527-731-6897, Divorced, Adm-clerical, White, Female,BE63234233556824,Vietnam
Megan Dorsey,30, Some-college,(103) 612-8927, Never-married, Craft-repair, Black, Male,LT331417765131688877,Costa Rica
Maya Sawyer,40, 7th-8th,(634) 828-8716, Married-civ-spouse, Machine-op-inspct, White, Male,LV33YTFQ3397864773792,Vietnam
Macaulay Dunlap,37, Some-college,1-352-734-7429, Married-civ-spouse, Adm-clerical, White, Male,PS878192813375737217757438438,Sweden
Gannon Kirkland,34, HS-grad,(262) 833-0817, Married-civ-spouse, Adm-clerical, Black, Male,CZ4088755183296224704783,South Korea
Brandon O'connor,41, Bachelors,1-618-878-3305, Divorced, Exec-managerial, White, Female,MR0435110263687984448403190,Spain
Renee Matthews,53, Bachelors,(268) 746-7429, Divorced, ?, White, Female,BG54ZFPR80824810426463,Pakistan
Daryl Garner,31, Masters,1-124-511-0458, Married-civ-spouse, Prof-specialty, White, Female,SI72327587273468485,Costa Rica
Zorita Waller,58, Doctorate,(122) 789-7285, Married-civ-spouse, Prof-specialty, White, Male,HU04684512610253721786667073,Austria
Raphael Terrell,38, Some-college,(891) 873-3178, Divorced, Machine-op-inspct, Black, Female,LI1128325527985612035,Chile
Malachi Rosales,24, Some-college,(291) 348-1512, Married-civ-spouse, Machine-op-inspct, White, Male,HR2078988960392869118,Brazil
Emery Maynard,41, Bachelors,(112) 746-9287, Married-civ-spouse, Craft-repair, Black, Male,GR9326473571422243376873122,Spain
Ginger Saunders,47, Some-college,1-734-622-5783, Married-civ-spouse, Tech-support, White, Male,PK8703284154578823163502,Costa Rica
Castor Vasquez,41, Bachelors,(712) 378-7230, Married-civ-spouse, Tech-support, White, Male,LV25UWIW6823517658402,Australia
Lucius Bush,23, 5th-6th,(426) 312-0376, Married-civ-spouse, Transport-moving, White, Male,HU84224235727134184132469435,Ireland
Dawn Mcgowan,36, Some-college,1-167-936-7630, Divorced, Craft-repair, White, Male,GT45976071260904576563967620,South Africa
Lester Clayton,40, Masters,1-746-638-0288, Never-married, Exec-managerial, White, Female,GI77GGED450771178529685,United States
Salvador Cameron,35, Masters,1-538-651-8760, Married-civ-spouse, Prof-specialty, White, Male,CH4423888933312258334,Canada
Edward Hinton,24, HS-grad,(699) 773-5457, Never-married, Sales, White, Male,MD1711227366523695263861,Turkey
Lani Medina,26, Masters,1-546-473-2859, Never-married, Prof-specialty, White, Female,IS758440356668785148670354,Ukraine
Ivana Jennings,19, HS-grad,1-461-886-0268, Never-married, ?, White, Male,MU2232407839946341426197848103,Philippines
Lacota Aguirre,51, Bachelors,(577) 146-8790, Married-civ-spouse, Exec-managerial, White, Male,CY49891637270588152327347313,Belgium
Leonard Mendez,42, Some-college,(831) 545-4330, Never-married, Prof-specialty, White, Female,LU132273618128957788,South Korea
Darrel Stout,37, HS-grad,1-279-391-9338, Divorced, Adm-clerical, White, Female,LT914254286304462538,South Africa
Oren Graham,18, 11th,(107) 247-5547, Never-married, Sales, White, Female,SE2632143097581273264758,Australia
Samson Mitchell,36, Bachelors,1-402-875-9195, Married-civ-spouse, Other-service, Black, Male,DK9256625552417554,Indonesia
Erasmus Hoffman,35, HS-grad,1-617-874-2562, Divorced, Craft-repair, White, Male,AZ40878327044167011253147163,Ireland
Driscoll Pena,58, HS-grad,(321) 772-3611, Married-civ-spouse, Sales, White, Female,PK1048114844716438468372,Spain
Carlos Carroll,17, 11th,1-365-567-7104, Never-married, Sales, White, Female,KZ983322612681905075,Russian Federation
Minerva Navarro,44, HS-grad,(421) 377-3171, Married-civ-spouse, Transport-moving, Black, Male,MU2731494291272446218285139894,Turkey
Preston Hammond,37, HS-grad,(765) 717-3183, Married-civ-spouse, Craft-repair, White, Male,BH25339844137487454136,Mexico
Marvin Suarez,35, Some-college,(632) 657-1176, Never-married, Sales, Amer-Indian-Eskimo, Female,DE81981141941364224042,Belgium
Cameron Hoover,60, HS-grad,1-448-988-6069, Married-civ-spouse, Craft-repair, Asian-Pac-Islander, Male,SE6604814874719643997312,Pakistan
Gil Nicholson,54, 7th-8th,1-880-796-2617, Married-civ-spouse, Machine-op-inspct, White, Male,BA431904417745226135,Poland
Brendan Sargent,37, Bachelors,1-791-978-9498, Never-married, Exec-managerial, Black, Male,BA735830650382068325,United States
Minerva Cannon,50, Assoc-acdm,(653) 606-7528, Divorced, Sales, White, Female,GT51647505375974648165573681,United Kingdom
Francis Todd,38, Bachelors,(185) 674-9462, Married-civ-spouse, Sales, White, Male,KZ257270322431722204,Pakistan
Simone Doyle,45, Bachelors,(713) 501-3576, Married-civ-spouse, Prof-specialty, White, Male,GL3712235082180180,Turkey
James Franco,25, 10th,(381) 666-9976, Never-married, Craft-repair, White, Male,BE90478135451457,Indonesia
Edward Howe,31, Some-college,1-664-585-6240, Married-civ-spouse, Handlers-cleaners, White, Male,TN4583598861741330258177,Germany
Yuli Head,64, 1st-4th,(461) 422-1016, Divorced, ?, White, Male,GI78LXSU936827155216287,Peru
Iliana Frazier,90, HS-grad,1-656-971-3663, Never-married, Other-service, Black, Male,GE15505818681886757341,Canada
Vaughan Davidson,54, HS-grad,(203) 744-3473, Married-civ-spouse, Adm-clerical, Black, Male,VG7983182386578427073995,Canada
Davis Randall,53, Preschool,(788) 920-5434, Never-married, Machine-op-inspct, White, Female,SK4931255792521329257051,Costa Rica
Ciaran Compton,18, HS-grad,1-211-764-5783, Never-married, Sales, White, Female,AE310595821991014576321,Brazil
Solomon Charles,60, 10th,(835) 669-5798, Divorced, ?, Amer-Indian-Eskimo, Female,MR4383757510755691963281222,Singapore
Dalton Hampton,66, HS-grad,1-811-734-0932, Married-civ-spouse, Farming-fishing, White, Male,MR1564003166442855627435352,Mexico
